Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-22 15:17:15,photo,Studying,positive,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,photo,Studying,positive,60
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2020-12-04 20:00:31,photo,healthy eating,positive,60
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 03:02:28,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2021-03-19 08:19:38,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25 00:09:41,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21 16:57:09,photo,healthy eating,positive,60
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2021-05-14 12:47:27,photo,healthy eating,positive,60
356fff80-da4d-4785-9f43-bc1261031dc6,heart,2020-08-28 23:43:55,photo,technology,positive,60
356fff80-da4d-4785-9f43-bc1261031dc6,heart,2020-10-27 05:45:15,photo,technology,positive,60
356fff80-da4d-4785-9f43-bc1261031dc6,heart,2021-05-07 09:16:35,photo,technology,positive,60
01ab84dd-6364-4236-abbb-3f237db77180,heart,2021-02-08 21:55:56,video,food,positive,60
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,heart,2020-10-16 07:42:49,GIF,cooking,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-12-07 12:12:11,video,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-04-28 15:22:49,video,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-12-23 04:11:42,video,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-06 05:23:29,video,dogs,positive,60
3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-07-11 05:51:54,video,dogs,positive,60
